station,valid,speed
FYV,1/18/2016 3:53:00 PM,5.75
FYV,1/18/2016 4:53:00 PM,3.45
FYV,1/18/2016 5:53:00 PM,3.45
FYV,1/18/2016 6:53:00 PM,0
FYV,1/18/2016 7:53:00 PM,3.45
FYV,1/18/2016 8:53:00 PM,0
FYV,1/18/2016 9:53:00 PM,0
FYV,1/18/2016 10:53:00 PM,0
FYV,1/18/2016 11:53:00 PM,3.45
FYV,1/19/2016 12:53:00 AM,3.45
FYV,1/19/2016 1:53:00 AM,0
FYV,1/19/2016 2:53:00 AM,0
FYV,1/19/2016 3:53:00 AM,0
FYV,1/19/2016 4:53:00 AM,0
FYV,1/19/2016 5:53:00 AM,0
FYV,1/19/2016 6:53:00 AM,0
FYV,1/19/2016 7:53:00 AM,3.45
FYV,1/19/2016 8:53:00 AM,0
FYV,1/19/2016 9:53:00 AM,0
FYV,1/19/2016 10:53:00 AM,5.75
FYV,1/19/2016 11:53:00 AM,5.75
FYV,1/19/2016 12:53:00 PM,9.2
FYV,1/19/2016 1:53:00 PM,3.45
FYV,1/19/2016 2:53:00 PM,0
FYV,1/19/2016 3:53:00 PM,6.9
FYV,1/19/2016 4:53:00 PM,6.9
FYV,1/19/2016 5:53:00 PM,10.35
FYV,1/19/2016 6:53:00 PM,6.9
FYV,1/19/2016 7:53:00 PM,10.35
FYV,1/19/2016 8:53:00 PM,14.95
FYV,1/19/2016 9:53:00 PM,17.25
FYV,1/19/2016 10:53:00 PM,8.05
FYV,1/19/2016 11:53:00 PM,5.75
FYV,1/20/2016 12:53:00 AM,3.45
FYV,1/20/2016 1:53:00 AM,0
FYV,1/20/2016 2:53:00 AM,9.2
FYV,1/20/2016 3:53:00 AM,0
FYV,1/20/2016 4:53:00 AM,3.45
FYV,1/20/2016 5:53:00 AM,0
FYV,1/20/2016 6:53:00 AM,0
FYV,1/20/2016 7:53:00 AM,0
FYV,1/20/2016 8:53:00 AM,0
FYV,1/20/2016 9:53:00 AM,3.45
FYV,1/20/2016 10:53:00 AM,5.75
FYV,1/20/2016 11:53:00 AM,6.9
FYV,1/20/2016 12:53:00 PM,M
FYV,1/20/2016 1:53:00 PM,3.45
FYV,1/20/2016 2:53:00 PM,5.75
FYV,1/20/2016 3:53:00 PM,4.6
FYV,1/20/2016 4:53:00 PM,0
FYV,1/20/2016 5:53:00 PM,0
FYV,1/20/2016 6:53:00 PM,6.9
FYV,1/20/2016 7:53:00 PM,3.45
FYV,1/20/2016 8:53:00 PM,6.9
FYV,1/20/2016 9:53:00 PM,4.6
FYV,1/20/2016 10:53:00 PM,0
FYV,1/20/2016 11:53:00 PM,3.45
FYV,1/21/2016 12:53:00 AM,5.75
FYV,1/21/2016 1:53:00 AM,12.65
FYV,1/21/2016 2:53:00 AM,5.75
FYV,1/21/2016 3:53:00 AM,3.45
FYV,1/21/2016 4:53:00 AM,0
FYV,1/21/2016 5:53:00 AM,0
FYV,1/21/2016 6:53:00 AM,0
FYV,1/21/2016 7:53:00 AM,3.45
FYV,1/21/2016 8:53:00 AM,3.45
FYV,1/21/2016 9:53:00 AM,4.6
FYV,1/21/2016 10:53:00 AM,3.45
FYV,1/21/2016 11:53:00 AM,3.45
FYV,1/21/2016 12:53:00 PM,0
FYV,1/21/2016 1:53:00 PM,0
FYV,1/21/2016 2:53:00 PM,0
FYV,1/21/2016 3:53:00 PM,6.9
FYV,1/21/2016 4:53:00 PM,5.75
FYV,1/21/2016 5:53:00 PM,3.45
FYV,1/21/2016 6:53:00 PM,5.75
FYV,1/21/2016 7:53:00 PM,6.9
FYV,1/21/2016 8:53:00 PM,3.45
FYV,1/21/2016 9:53:00 PM,4.6
FYV,1/21/2016 10:53:00 PM,6.9
FYV,1/21/2016 11:53:00 PM,9.2
FYV,1/22/2016 12:53:00 AM,6.9
FYV,1/22/2016 1:53:00 AM,6.9
FYV,1/22/2016 2:53:00 AM,9.2
FYV,1/22/2016 3:53:00 AM,10.35
FYV,1/22/2016 4:53:00 AM,10.35
FYV,1/22/2016 5:53:00 AM,14.95
FYV,1/22/2016 6:53:00 AM,11.5
FYV,1/22/2016 7:53:00 AM,12.65
FYV,1/22/2016 8:53:00 AM,13.8
FYV,1/22/2016 9:53:00 AM,10.35
FYV,1/22/2016 10:53:00 AM,10.35
FYV,1/22/2016 11:53:00 AM,6.9
FYV,1/22/2016 12:53:00 PM,12.65
FYV,1/22/2016 1:53:00 PM,10.35
FYV,1/22/2016 2:53:00 PM,11.5
FYV,1/22/2016 3:53:00 PM,13.8
FYV,1/22/2016 4:53:00 PM,10.35
FYV,1/22/2016 5:53:00 PM,13.8
FYV,1/22/2016 6:53:00 PM,10.35
FYV,1/22/2016 7:53:00 PM,11.5
FYV,1/22/2016 8:53:00 PM,11.5
FYV,1/22/2016 9:53:00 PM,16.1
FYV,1/22/2016 10:53:00 PM,10.35
FYV,1/22/2016 11:53:00 PM,9.2
FYV,1/23/2016 12:53:00 AM,M
FYV,1/23/2016 1:53:00 AM,M
FYV,1/23/2016 2:53:00 AM,11.5
FYV,1/23/2016 3:53:00 AM,8.05
FYV,1/23/2016 4:53:00 AM,10.35
FYV,1/23/2016 5:53:00 AM,5.75
FYV,1/23/2016 6:53:00 AM,5.75
FYV,1/23/2016 7:53:00 AM,9.2
FYV,1/23/2016 8:53:00 AM,3.45
FYV,1/23/2016 9:53:00 AM,5.75
FYV,1/23/2016 10:53:00 AM,6.9
FYV,1/23/2016 11:53:00 AM,6.9
FYV,1/23/2016 12:53:00 PM,5.75
FYV,1/23/2016 1:53:00 PM,3.45
FYV,1/23/2016 2:53:00 PM,5.75
FYV,1/23/2016 3:53:00 PM,4.6
FYV,1/23/2016 4:53:00 PM,5.75
FYV,1/23/2016 5:53:00 PM,3.45
FYV,1/23/2016 6:53:00 PM,3.45
FYV,1/23/2016 7:53:00 PM,3.45
FYV,1/23/2016 8:53:00 PM,5.75
FYV,1/23/2016 9:53:00 PM,9.2
FYV,1/23/2016 10:53:00 PM,6.9
FYV,1/23/2016 11:53:00 PM,8.05
FYV,1/24/2016 12:53:00 AM,4.6
FYV,1/24/2016 1:53:00 AM,3.45
FYV,1/24/2016 2:53:00 AM,0
FYV,1/24/2016 3:53:00 AM,3.45
FYV,1/24/2016 4:53:00 AM,6.9
FYV,1/24/2016 5:53:00 AM,10.35
FYV,1/24/2016 6:53:00 AM,8.05
FYV,1/24/2016 7:53:00 AM,8.05
FYV,1/24/2016 8:53:00 AM,11.5
FYV,1/24/2016 9:53:00 AM,8.05
FYV,1/24/2016 10:53:00 AM,4.6
FYV,1/24/2016 11:53:00 AM,12.65
FYV,1/24/2016 12:53:00 PM,12.65
FYV,1/24/2016 1:53:00 PM,9.2
FYV,1/24/2016 2:53:00 PM,11.5
FYV,1/24/2016 3:53:00 PM,14.95
FYV,1/24/2016 4:53:00 PM,17.25
FYV,1/24/2016 5:53:00 PM,19.55
FYV,1/24/2016 6:53:00 PM,17.25
FYV,1/24/2016 7:53:00 PM,20.7
FYV,1/24/2016 8:53:00 PM,14.95
FYV,1/24/2016 9:53:00 PM,21.85
FYV,1/24/2016 10:53:00 PM,10.35
FYV,1/24/2016 11:53:00 PM,11.5
FYV,1/25/2016 12:53:00 AM,16.1
FYV,1/25/2016 1:53:00 AM,9.2
FYV,1/25/2016 2:53:00 AM,14.95
FYV,1/25/2016 3:53:00 AM,10.35
FYV,1/25/2016 4:53:00 AM,16.1
FYV,1/25/2016 5:53:00 AM,M
FYV,1/25/2016 6:53:00 AM,16.1
FYV,1/25/2016 7:53:00 AM,18.4
FYV,1/25/2016 8:53:00 AM,17.25
FYV,1/25/2016 9:53:00 AM,19.55
FYV,1/25/2016 10:53:00 AM,M
FYV,1/25/2016 11:53:00 AM,M
FYV,1/25/2016 12:53:00 PM,16.1
FYV,1/25/2016 1:53:00 PM,14.95
FYV,1/25/2016 2:53:00 PM,13.8
FYV,1/25/2016 3:53:00 PM,18.4
FYV,1/25/2016 4:53:00 PM,16.1
FYV,1/25/2016 5:53:00 PM,20.7
